employee_id,age,gender,education,department,job_level,years_at_company,years_in_current_role,monthly_salary,overtime_hours_monthly,num_projects_completed,performance_rating,training_hours_yearly,work_life_balance_score,distance_from_home_km,num_companies_worked,job_satisfaction,relationship_with_manager,stock_option_level,attrition
20,58.0,Male,PhD,Sales,1,27.1,0.3,5660.48,14,5,4,41.6,4,5.5,1,5,1,1,0
21,46.0,Female,Master,IT,1,1.6,1.4,5107.21,1,8,4,38.6,4,1.9,1,3,5,2,1
22,40.0,Female,Bachelor,Finance,3,3.5,1.0,2959.51,8,4,2,40.0,4,44.45,3,2,5,2,0
23,27.0,Female,Master,Engineering,1,3.1,0.7,8656.03,11,9,2,18.2,3,8.9,2,5,5,0,0
24,36.0,Female,PhD,Marketing,2,1.7,1.7,2137.35,4,4,4,55.4,3,5.2,2,3,3,0,0
25,33.0,Male,Bachelor,Engineering,4,16.5,4.4,4964.75,4,5,4,52.2,4,5.6,1,4,3,1,0
26,27.0,Female,Master,Operations,2,13.7,0.4,5029.37,5,6,5,29.5,4,10.3,0,3,1,3,0
27,41.0,Female,Bachelor,HR,3,3.8,2.0,6279.16,5,5,3,60.2,2,6.8,1,5,3,0,0
28,46.0,Female,PhD,IT,1,6.1,0.3,6985.89,9,4,5,34.7,3,12.1,3,4,5,2,0
29,57.0,Male,Bachelor,Sales,1,6.0,0.4,10387.595000000001,14,7,4,38.4,3,27.3,2,3,4,1,1
30,25.0,Female,Master,Marketing,1,2.4,2.4,4413.4,11,10,4,36.7,4,19.5,2,2,3,1,0
31,22.0,Non-binary,High School,Operations,1,0.3,0.3,5423.09,9,5,3,42.6,3,15.3,1,3,3,2,0
32,60.0,Male,Bachelor,IT,5,4.7,1.0,9126.26,4,7,3,44.4,4,44.45,1,1,3,2,0
33,33.0,Female,PhD,Finance,3,0.2,0.2,4870.4,7,3,3,28.3,3,4.2,3,4,4,0,0
34,28.0,Female,Bachelor,Marketing,2,2.2,2.2,4015.36,3,5,1,44.7,5,6.8,3,3,4,0,0
35,47.0,Female,Master,Operations,3,4.4,1.3,9374.39,6,6,3,40.1,3,25.1,3,1,5,3,0
36,59.0,Female,High School,Finance,2,0.9,0.7,5874.61,10,11,3,56.2,4,28.1,2,2,4,0,0
37,32.0,Male,PhD,Sales,3,2.1,0.4,6038.6,5,5,4,44.9,3,15.6,2,5,4,0,0
38,44.0,Male,Master,Engineering,2,3.6,0.2,4204.83,8,3,3,35.6,4,23.3,2,3,5,1,0
39,47.0,Female,High School,Sales,1,6.1,6.1,4659.99,9,7,2,45.8,3,5.2,1,5,3,1,0
40,27.0,Female,Master,Sales,4,4.1,2.7,4081.73,7,5,4,37.8,4,44.45,0,3,4,0,0
41,53.0,Female,Master,Sales,2,2.5,2.5,5467.68,8,5,3,69.8,4,27.2,3,3,5,2,0
42,55.0,Male,Bachelor,Engineering,2,2.6,1.8,5289.96,9,6,3,3.1,4,11.8,0,5,3,0,0
43,39.0,Male,High School,IT,1,1.2,1.2,6208.53,10,5,4,18.9,3,21.8,6,4,3,0,0
44,27.0,Female,Bachelor,Finance,1,4.0,4.0,2269.78,8,7,4,51.9,3,24.8,4,3,4,1,1
45,45.0,Male,Master,Legal,1,0.0,0.0,4245.21,9,10,3,41.3,4,10.2,5,4,5,1,0
46,57.0,Female,PhD,Finance,3,11.1,7.2,9532.38,4,9,4,51.0,5,38.3,4,5,4,0,0
47,29.0,Female,PhD,Legal,2,2.1,2.1,5741.42,11,5,1,28.6,2,38.6,3,3,4,0,0
48,22.0,Female,Bachelor,Sales,2,0.3,0.2,4862.55,8,3,4,38.6,4,28.1,5,3,5,0,0
49,28.0,Male,PhD,Finance,2,0.6,0.6,6081.54,15,7,3,29.3,1,44.45,4,5,3,0,0
50,25.0,Male,Bachelor,Legal,3,0.3,0.2,9955.37,4,4,4,47.3,3,4.3,3,3,1,3,0
51,49.0,Male,Master,Finance,5,0.5,0.5,7493.38,12,5,1,26.8,4,16.3,2,5,5,2,0
52,59.0,Male,Bachelor,Operations,1,13.4,3.1,7663.67,5,8,3,58.5,3,44.45,1,4,4,3,0
53,34.0,Male,High School,Marketing,2,1.1,0.9,3661.81,11,9,4,33.5,4,44.45,4,4,5,0,0
54,26.0,Female,Master,Legal,3,9.9,1.2,7250.24,6,5,3,48.5,1,44.45,2,4,1,2,0
55,44.0,Male,Master,HR,3,1.5,1.5,8288.36,5,7,4,34.8,4,17.8,1,5,2,1,0
56,40.0,Male,Master,IT,1,0.8,0.8,3212.35,10,5,4,39.5,2,12.0,2,2,4,2,0
57,60.0,Male,Master,IT,1,7.9,6.3,5384.21,5,10,3,22.6,5,5.4,5,4,3,1,0
58,26.0,Female,Master,Marketing,2,3.7,0.2,6484.81,7,1,3,42.7,4,32.2,3,3,5,1,1
59,48.0,Female,PhD,Sales,5,3.6,3.6,3438.19,12,5,2,18.6,3,17.5,0,2,2,1,0
60,36.0,Male,Master,Sales,1,9.3,3.2,6227.03,4,6,2,50.3,3,8.4,3,4,3,0,0
61,38.0,Male,Master,Engineering,5,2.4,2.4,6692.32,5,7,2,22.8,5,1.6,2,4,4,1,0
62,33.0,Male,Master,Engineering,1,12.0,6.8,8165.38,10,8,4,23.8,4,0.3,0,2,4,1,1
63,59.0,Male,Bachelor,Sales,3,0.2,0.2,8720.89,8,7,4,11.2,5,32.7,0,4,3,3,0
64,29.0,Male,Bachelor,IT,5,3.2,0.6,5145.13,10,7,3,47.5,2,44.45,3,4,4,2,1
65,49.0,Male,Bachelor,HR,2,7.7,0.0,3885.87,11,4,4,68.8,4,12.3,2,1,3,1,0
66,52.0,Female,Master,HR,1,1.1,1.1,7840.74,8,3,4,17.1,2,11.9,4,3,5,2,0
67,41.0,Female,High School,Operations,2,3.0,2.1,4591.55,7,8,3,39.1,3,10.8,3,3,4,3,0
68,49.0,Female,Bachelor,Sales,1,2.2,2.2,9984.6,6,5,2,26.6,3,44.45,2,4,3,0,0
69,55.0,Male,PhD,Finance,2,3.2,2.6,8525.63,3,3,5,39.4,2,4.1,3,4,4,1,0
70,57.0,Female,Master,Sales,1,9.3,1.3,10387.595000000001,11,8,3,41.3,3,9.4,3,4,4,0,0
71,27.0,Female,High School,Engineering,3,3.3,0.6,7412.54,9,10,1,29.1,4,22.1,1,3,4,1,0
72,35.0,Male,Master,Marketing,4,6.4,6.4,6308.7,5,2,3,51.1,4,5.6,0,5,3,2,0
73,57.0,Male,PhD,Marketing,2,3.4,2.5,8208.86,13,4,2,14.2,4,17.7,5,1,4,0,0
74,41.0,Male,Master,Finance,3,1.3,0.5,8491.11,2,6,5,45.4,2,44.45,4,4,3,1,0
75,35.0,Male,Bachelor,Engineering,2,4.4,0.9,6611.55,8,6,2,50.3,4,15.9,1,5,3,0,0
76,34.0,Female,Bachelor,Sales,2,0.7,0.1,5037.61,10,6,4,49.8,3,8.2,2,5,2,1,0
77,40.0,Male,High School,Marketing,4,4.3,4.3,5926.1,5,2,4,56.6,3,6.5,3,5,3,2,0
78,24.0,Male,Bachelor,Engineering,1,4.2,4.2,5141.24,12,2,4,15.5,4,16.8,5,3,4,0,1
79,31.0,Male,High School,Sales,1,1.1,1.1,5287.47,4,5,5,55.4,5,16.4,0,3,3,2,1
80,55.0,Male,Master,Legal,3,1.7,1.7,4920.49,7,4,3,34.0,3,19.2,2,5,4,0,0
81,46.0,Non-binary,Master,Operations,4,8.5,0.8,5966.59,8,4,1,50.4,2,44.45,4,5,4,0,0
82,54.0,Female,Bachelor,Finance,3,3.7,1.4,4071.74,13,8,3,10.0,3,6.3,1,5,3,0,0
83,49.0,Female,Master,Engineering,2,0.5,0.5,8120.08,8,6,5,45.7,4,39.7,2,2,5,2,0
84,58.0,Male,Master,Marketing,3,4.3,0.1,1403.74,8,6,4,57.0,3,14.7,3,5,3,1,0
85,57.0,Female,Master,Sales,5,1.3,1.3,4097.59,10,11,5,50.0,3,44.45,3,3,4,3,0
86,49.0,Female,Bachelor,Finance,4,5.0,0.2,4807.56,9,5,4,36.5,5,11.8,5,4,3,0,1
87,39.0,Male,High School,HR,2,4.6,2.4,4042.14,7,6,3,69.3,2,17.6,0,3,3,3,0
88,55.0,Female,High School,Marketing,2,3.1,0.4,3915.53,3,10,4,19.1,5,2.2,2,4,5,0,0
89,22.0,Female,PhD,Engineering,1,1.9,1.9,4195.95,10,6,1,50.4,2,4.6,3,1,3,1,0
90,26.0,Female,Bachelor,Operations,5,14.4,4.7,3791.19,12,8,2,48.6,3,20.9,1,4,3,0,0
91,28.0,Female,High School,HR,5,3.9,0.4,5690.91,5,11,2,43.7,5,44.45,2,3,3,0,1
92,23.0,Male,PhD,Marketing,3,2.9,0.3,7882.87,6,4,3,36.5,1,9.4,3,5,3,3,0
93,36.0,Male,Bachelor,Finance,1,3.4,3.4,7990.56,10,5,1,13.6,4,0.1,5,2,5,3,0
94,46.0,Male,Master,Operations,1,7.2,0.6,3134.77,5,3,4,34.2,3,4.5,6,2,3,2,0
95,34.0,Female,Bachelor,Sales,1,0.8,0.1,3611.36,9,2,4,32.4,4,9.9,7,4,4,0,0
96,31.0,Male,Master,Legal,2,3.2,1.4,3574.85,8,5,3,48.1,3,5.0,2,4,4,1,0
97,29.0,Male,Bachelor,HR,5,2.2,0.6,5020.52,16,5,3,42.2,3,2.0,2,5,4,1,0
98,27.0,Male,Bachelor,HR,2,1.2,1.2,2966.46,7,7,2,32.7,1,44.45,4,1,4,0,0
99,23.0,Female,Bachelor,Marketing,4,0.1,0.1,3622.93,7,7,4,39.3,1,14.7,2,4,4,1,0
100,54.0,Female,Master,Engineering,1,0.5,0.5,6407.26,6,8,2,40.8,5,11.1,5,3,2,0,0
101,43.0,Male,Master,Marketing,1,7.1,0.1,5067.72,8,2,4,51.2,3,7.4,2,3,5,2,0
102,33.0,Male,Bachelor,Legal,2,14.4,3.6,3967.84,4,5,4,33.4,3,7.8,1,2,5,1,0
103,58.0,Female,Bachelor,Operations,3,2.8,2.8,6460.29,7,5,2,13.2,5,8.8,3,3,4,0,0
104,40.0,Female,Bachelor,Operations,2,3.1,1.1,7805.52,4,9,4,29.5,5,44.45,4,5,3,1,0
105,55.0,Female,Master,Engineering,3,5.8,2.3,3505.32,10,8,5,47.8,2,30.5,4,4,2,1,0
106,44.0,Male,Bachelor,Marketing,1,1.3,1.3,4945.76,5,6,3,49.7,2,13.1,1,4,4,0,0
107,59.0,Male,Bachelor,Legal,1,17.2,2.0,3911.78,8,10,3,54.7,4,1.0,5,4,2,0,0
108,25.0,Female,Bachelor,Finance,2,4.8,0.9,4682.71,7,6,3,29.3,4,2.2,1,3,5,2,0
109,56.0,Female,Bachelor,Finance,3,1.8,1.8,7677.32,7,5,2,43.8,3,3.0,1,5,4,2,0
110,36.0,Non-binary,Master,Finance,1,1.6,0.2,3975.46,8,4,5,36.9,2,5.6,3,2,5,1,0
111,25.0,Male,Bachelor,IT,3,2.6,0.4,8140.08,7,7,3,37.0,1,39.8,3,4,3,1,0
112,51.0,Male,Bachelor,Legal,2,0.4,0.4,4960.92,8,9,3,31.6,4,19.9,2,5,4,0,0
113,56.0,Female,Bachelor,Finance,2,9.6,3.2,4449.32,10,6,3,35.7,4,0.6,3,2,3,1,0
114,53.0,Female,Bachelor,Finance,2,3.5,1.3,7644.51,7,3,4,32.2,3,13.9,1,5,3,2,0
115,43.0,Male,Bachelor,Sales,4,16.5,0.9,4821.15,8,6,5,46.1,3,13.2,3,4,5,3,0
116,52.0,Female,Bachelor,Engineering,3,2.8,2.8,4827.76,6,5,3,38.7,2,20.7,2,3,4,1,0
117,47.0,Female,Bachelor,Finance,3,2.6,1.8,4792.2,4,6,5,23.2,3,21.5,5,5,4,0,0
118,23.0,Male,Master,Operations,2,3.0,0.3,7252.63,9,6,3,32.5,4,0.8,1,1,5,0,0
119,60.0,Female,Bachelor,IT,1,16.1,1.3,6357.14,9,8,3,38.2,4,16.9,3,2,2,3,0
120,45.0,Male,Master,Marketing,2,1.8,1.8,5007.02,11,8,4,45.2,2,0.3,2,2,4,2,1
121,30.0,Female,Bachelor,Sales,2,12.5,5.9,6036.74,8,7,3,28.2,5,7.6,5,2,3,2,0
122,48.0,Female,Bachelor,IT,5,3.4,1.3,4544.37,10,8,5,69.5,3,32.5,2,3,3,0,1
123,31.0,Male,PhD,Sales,4,3.1,0.5,3510.7,13,6,4,39.7,5,0.0,4,4,4,0,0
124,56.0,Female,PhD,Marketing,1,13.3,2.5,3741.33,10,7,3,27.2,3,15.9,6,5,2,0,0
125,44.0,Female,High School,Marketing,2,1.0,0.1,7155.69,5,4,2,35.9,3,44.45,2,2,4,0,0
126,58.0,Female,Master,Engineering,1,0.3,0.3,3888.43,12,6,5,34.3,3,9.1,2,3,4,0,0
127,61.0,Male,PhD,Marketing,1,3.0,3.0,5763.35,4,4,1,37.4,4,17.9,2,3,5,0,0
128,44.0,Male,Master,Legal,3,3.5,1.8,2450.52,16,5,4,74.2,1,20.7,4,5,4,0,0
129,56.0,Female,Bachelor,Legal,2,1.1,1.1,5444.89,13,8,4,36.5,5,8.1,3,3,3,2,0
130,56.0,Male,Master,Sales,2,5.7,3.1,3130.65,13,5,3,47.4,1,0.8,2,3,4,2,0
131,46.0,Female,Master,Finance,1,9.8,0.8,5948.57,12,3,3,39.3,4,15.1,3,1,3,0,0
132,45.0,Male,High School,HR,1,1.2,1.2,4049.81,9,4,3,24.3,3,44.45,1,2,3,0,0
133,47.0,Female,Bachelor,IT,1,0.1,0.1,3642.21,8,2,3,55.7,2,3.9,1,4,3,1,0
134,33.0,Female,High School,Finance,2,2.3,2.3,3238.92,7,7,2,13.0,2,2.4,1,2,3,1,0
135,61.0,Female,Master,HR,4,1.7,1.7,2655.3,6,5,3,44.3,4,15.9,0,2,3,2,1
136,55.0,Female,High School,IT,2,0.5,0.5,10387.595000000001,8,3,5,40.5,5,13.7,7,3,4,1,1
137,51.0,Female,High School,Sales,3,0.7,0.7,3941.37,7,4,3,35.3,2,10.6,4,3,3,0,0
138,34.0,Male,Master,IT,1,3.8,1.8,6562.82,3,7,2,62.2,4,11.4,1,3,5,0,0
139,43.0,Female,Master,Finance,2,2.4,0.7,3475.03,5,6,3,10.1,2,0.2,7,3,5,1,0
140,48.0,Male,Bachelor,Legal,1,0.5,0.1,5638.86,7,3,2,44.8,3,6.5,0,1,3,1,1
141,56.0,Female,Master,HR,1,0.5,0.5,9231.11,13,6,2,31.7,5,38.8,3,1,3,0,0
142,22.0,Female,Bachelor,Finance,3,1.6,1.6,5863.74,10,2,3,29.2,3,3.7,3,4,4,2,0
143,24.0,Female,Master,Operations,1,0.8,0.8,1927.78,13,12,4,28.3,3,3.4,2,4,4,1,0
144,31.0,Male,PhD,Operations,2,0.8,0.5,3313.42,9,4,4,38.9,3,44.45,0,4,5,2,1
145,42.0,Male,Bachelor,IT,1,3.0,3.0,5320.61,9,6,4,48.0,3,16.2,2,4,1,0,1
146,48.0,Male,Master,Finance,1,2.8,2.8,4806.46,6,6,2,15.8,2,36.7,4,3,3,1,0
147,61.0,Female,PhD,Engineering,3,12.7,4.6,5100.37,8,3,2,63.6,2,44.45,3,2,5,3,1
148,45.0,Female,High School,HR,1,1.1,1.1,8118.0,11,3,4,44.2,3,1.5,0,5,4,1,0
149,28.0,Female,High School,Engineering,5,7.0,2.4,5541.7,8,7,3,41.3,4,24.7,0,3,3,1,0
150,37.0,Female,High School,Marketing,4,7.2,0.3,6678.41,8,6,3,27.2,2,10.3,5,2,3,1,0
151,22.0,Male,Master,Marketing,3,0.6,0.6,2708.46,9,4,5,29.1,4,0.4,1,3,4,0,0
152,54.0,Male,High School,Sales,1,0.6,0.6,3992.09,11,4,1,31.1,4,20.1,6,3,3,1,0
153,44.0,Male,High School,Finance,4,0.9,0.9,6948.3,11,2,4,23.6,4,2.1,4,4,3,2,0
154,36.0,Male,High School,Marketing,4,2.1,0.5,4421.89,7,9,1,61.1,1,1.8,5,4,4,3,0
155,59.0,Female,Bachelor,Finance,1,3.0,2.7,6230.48,10,6,2,31.8,3,19.9,1,3,5,1,0
156,26.0,Female,Bachelor,Engineering,4,2.6,2.6,2769.33,16,4,3,26.6,5,1.0,4,4,3,2,0
157,52.0,Female,Bachelor,Engineering,5,2.4,2.4,3841.35,11,3,3,53.4,4,3.9,0,1,3,0,1
158,61.0,Male,Master,Engineering,1,0.1,0.1,9199.33,7,2,3,0.0,1,0.2,3,4,5,3,0
159,52.0,Female,High School,Operations,4,1.1,1.1,9821.15,4,7,4,32.6,3,6.1,3,2,3,1,0
160,26.0,Female,Bachelor,Sales,1,0.8,0.8,7710.04,5,13,4,18.6,2,2.9,3,3,3,1,0
161,45.0,Female,Bachelor,Sales,3,6.2,0.4,6585.38,9,4,4,51.7,4,13.6,2,4,5,0,0
162,42.0,Male,Master,IT,3,4.6,2.7,2900.54,6,4,5,49.6,4,2.3,4,3,5,0,0
163,27.0,Female,Master,Operations,2,1.4,1.0,3001.09,7,4,4,30.5,3,9.2,1,4,1,0,1
164,57.0,Male,Bachelor,HR,2,1.6,1.6,1445.44,5,7,4,33.0,3,41.8,1,4,5,1,0
165,53.0,Female,PhD,Marketing,1,2.9,0.0,5560.56,10,3,4,28.6,3,15.8,4,5,5,0,0
166,51.0,Female,Master,Engineering,2,6.0,0.3,6497.22,11,5,3,46.1,4,33.4,4,4,3,3,0
167,22.0,Male,Bachelor,Sales,4,6.6,2.2,2628.3,6,3,2,42.5,3,6.2,0,2,4,0,1
168,55.0,Female,Bachelor,Legal,1,6.6,3.3,5344.89,7,6,1,36.7,4,14.0,4,1,4,1,0
169,43.0,Female,Master,Sales,3,13.6,0.0,2844.1,7,8,3,24.5,3,11.3,4,3,4,2,0
170,37.0,Male,Bachelor,Sales,1,3.3,3.3,6073.52,10,4,4,53.5,1,28.6,3,4,4,1,0
171,25.0,Male,Bachelor,IT,2,3.3,2.6,5931.66,8,3,2,51.4,4,14.0,0,5,3,3,0
172,40.0,Female,Bachelor,Sales,2,3.0,1.2,4215.72,8,10,4,49.5,4,0.8,4,3,4,0,0
173,48.0,Male,Bachelor,Operations,3,10.8,1.9,4509.72,4,8,2,50.3,4,0.0,3,5,4,1,0
174,42.0,Female,Bachelor,IT,2,12.0,0.1,4470.02,12,10,2,41.0,4,6.0,1,3,4,3,0
175,53.0,Male,Bachelor,Finance,3,4.5,0.5,5607.33,6,7,4,38.8,1,15.9,6,3,4,1,0
176,57.0,Female,Bachelor,IT,2,3.2,0.1,4604.08,6,8,3,48.5,3,13.1,2,3,4,0,0
177,59.0,Male,Bachelor,Legal,3,0.3,0.2,8668.42,6,8,4,45.3,3,7.1,4,1,2,1,0
178,37.0,Male,High School,Engineering,3,1.4,1.4,10387.595000000001,9,6,1,26.8,4,21.1,2,3,3,0,0
179,52.0,Female,Bachelor,IT,3,3.0,0.6,3130.88,5,6,5,35.2,3,6.7,3,3,3,0,0
180,33.0,Female,Bachelor,IT,2,6.6,0.8,2559.52,7,4,2,41.6,5,11.0,1,3,5,0,0
181,60.0,Male,Master,Engineering,1,4.3,2.0,3854.98,7,6,1,61.6,4,7.6,3,2,3,1,1
182,50.0,Female,Bachelor,Operations,1,0.3,0.3,6558.33,3,5,3,20.0,3,0.2,6,3,3,0,1
183,54.0,Female,Bachelor,Engineering,3,5.8,1.2,2523.26,8,4,4,54.3,4,34.2,5,4,3,1,0
184,30.0,Male,Master,Marketing,3,0.1,0.1,6020.76,7,5,1,27.9,3,16.4,2,4,4,0,0
185,58.0,Male,Bachelor,Marketing,4,1.8,1.8,4143.74,3,9,5,44.9,3,6.6,1,2,3,0,0
186,35.0,Male,High School,Operations,1,5.8,4.3,9351.24,9,3,4,75.7,2,20.3,1,3,2,1,0
187,24.0,Male,Bachelor,Legal,1,1.3,1.3,5177.11,10,3,3,19.7,3,6.0,2,3,3,0,0
188,40.0,Female,Master,Sales,5,6.3,0.8,10387.595000000001,10,6,3,44.4,4,9.9,4,5,4,1,0
189,40.0,Female,Bachelor,Legal,1,4.9,2.5,6036.3,4,8,4,37.8,4,12.8,2,2,4,0,1
190,48.0,Male,Master,Legal,2,4.0,1.4,8885.7,14,9,3,66.6,3,2.1,3,2,3,0,0
191,36.0,Male,Master,Legal,2,3.1,0.5,2927.26,7,6,4,63.0,4,3.8,2,4,3,0,1
192,57.0,Non-binary,Bachelor,Marketing,3,0.6,0.0,4176.29,4,5,2,28.7,2,29.3,4,3,5,3,0
193,49.0,Male,High School,HR,4,1.6,1.4,4884.79,10,4,4,33.9,3,4.4,0,2,5,2,0
194,48.0,Male,Master,Sales,4,4.2,0.4,3903.33,8,9,4,46.9,4,2.1,2,4,4,0,0
195,50.0,Male,Master,Finance,5,0.8,0.8,4891.33,7,9,4,31.6,1,44.45,0,1,5,2,0
196,23.0,Male,Bachelor,Legal,1,0.8,0.8,4417.23,8,8,4,30.9,1,14.6,4,3,4,0,0
197,46.0,Female,Bachelor,IT,1,1.2,1.2,2943.93,7,2,4,58.4,3,17.8,1,1,3,0,0
198,25.0,Male,High School,Operations,2,7.5,0.1,6239.55,9,5,4,50.6,5,8.1,2,4,3,0,0
199,22.0,Male,High School,Operations,1,5.7,3.0,4269.44,4,3,4,36.6,4,4.1,2,3,5,0,0
200,45.0,Non-binary,Master,Finance,1,7.4,1.2,6272.72,5,4,5,11.0,1,0.1,3,1,2,3,0
201,56.0,Male,Master,Legal,5,14.0,1.4,3548.12,6,9,3,33.5,3,1.0,2,4,4,0,1
202,39.0,Female,Master,Legal,3,4.8,3.1,8749.96,7,9,2,56.1,3,1.1,1,4,5,0,0
203,34.0,Female,PhD,Marketing,2,4.2,1.1,6011.18,13,9,4,21.2,2,16.9,4,4,3,3,0
204,47.0,Female,Bachelor,HR,1,1.7,1.7,3657.88,7,9,2,23.2,3,14.2,7,1,3,0,0
205,25.0,Male,High School,Finance,3,3.4,3.4,9789.85,6,7,3,21.2,3,6.0,3,2,3,1,1
206,31.0,Female,PhD,IT,3,3.8,1.4,5245.72,7,8,4,56.5,4,7.4,0,3,4,1,0
207,29.0,Non-binary,High School,HR,3,2.1,1.1,3429.75,10,6,4,47.7,5,17.4,2,3,4,0,1
208,29.0,Male,Bachelor,Engineering,2,0.5,0.1,2859.41,12,7,3,44.8,2,3.7,3,4,4,0,1
209,59.0,Male,Master,Sales,2,13.7,0.4,3211.98,12,8,2,38.9,3,8.3,3,4,4,3,0
210,54.0,Male,PhD,Operations,3,1.8,0.8,7457.89,9,7,3,21.5,4,0.7,4,2,4,1,0
211,25.0,Female,Bachelor,HR,3,2.0,2.0,6401.02,12,7,3,50.9,5,3.1,2,4,2,1,1
212,35.0,Male,PhD,Engineering,1,11.5,3.5,3925.21,13,4,3,54.3,4,2.5,4,4,4,0,0
213,42.0,Male,Bachelor,Legal,2,5.9,0.9,2837.65,7,4,4,38.8,1,15.4,5,2,2,2,0
214,33.0,Male,Bachelor,Sales,4,17.1,7.6,3948.49,9,5,3,42.3,4,9.1,3,3,4,1,0
215,44.0,Female,Master,Marketing,2,2.9,0.3,2127.12,9,11,4,44.2,4,10.1,1,5,4,0,0
216,41.0,Male,Master,Finance,1,0.9,0.9,7747.61,9,6,4,59.3,2,13.5,1,1,2,0,0
217,50.0,Male,Bachelor,IT,1,5.3,3.3,10387.595000000001,8,7,4,41.1,1,12.1,4,1,5,2,0
218,25.0,Female,PhD,Sales,3,5.1,0.3,5399.11,8,4,4,12.6,3,10.7,3,4,3,2,0
219,48.0,Female,Master,HR,3,8.4,0.9,6099.6,9,7,3,51.6,4,15.4,4,4,3,1,1
220,41.0,Female,Bachelor,Marketing,4,0.3,0.2,7580.03,15,9,2,80.3,5,1.5,1,3,4,2,1
221,24.0,Female,Bachelor,HR,4,2.1,0.6,6695.95,8,6,4,30.7,4,10.8,2,4,3,1,1
222,42.0,Female,Bachelor,Finance,4,6.2,0.1,4816.15,7,5,4,24.2,3,44.45,4,2,1,0,0
223,37.0,Male,High School,HR,2,3.3,0.1,2366.05,4,5,3,54.0,5,0.8,4,4,4,0,0
224,23.0,Female,Bachelor,Legal,5,1.0,1.0,2879.67,7,3,3,34.5,3,0.0,0,4,3,2,1
225,38.0,Female,Master,IT,2,1.0,1.0,6390.31,10,3,2,27.4,4,8.8,3,4,3,0,1
226,51.0,Female,Bachelor,Marketing,5,1.4,1.4,8269.76,6,4,3,57.9,3,24.4,3,4,2,0,0
227,42.0,Male,Bachelor,Marketing,3,0.8,0.6,6541.95,15,6,3,42.0,4,6.2,1,4,5,0,0
228,61.0,Female,High School,IT,2,0.5,0.5,9112.33,8,8,3,28.0,4,25.6,5,4,4,2,0
229,59.0,Male,High School,HR,1,1.9,1.9,7173.76,10,5,4,65.6,4,4.7,2,4,4,0,1
230,61.0,Female,Bachelor,Operations,1,8.7,0.1,5704.23,13,4,3,32.7,1,0.4,4,3,2,1,0
231,25.0,Female,Bachelor,Finance,1,0.3,0.3,5659.74,9,8,3,71.9,2,3.4,3,1,3,1,0
232,34.0,Female,PhD,Marketing,5,0.6,0.6,3367.16,6,8,4,56.8,3,12.0,2,4,2,0,0
233,52.0,Female,High School,Engineering,2,0.2,0.2,6137.53,11,7,4,50.0,4,2.3,2,3,4,0,1
234,45.0,Male,High School,Finance,3,1.4,1.4,7776.17,11,5,3,44.1,5,8.4,0,4,4,0,1
