age,gender,education,department,job_level,years_at_company,years_in_current_role,monthly_salary,overtime_hours_monthly,num_projects_completed,performance_rating,training_hours_yearly,work_life_balance_score,distance_from_home_km,num_companies_worked,job_satisfaction,relationship_with_manager,stock_option_level,ratio_salario_edad,antiguedad_satisfaccion,rango_edad
60,Male,Bachelor,Marketing,3,0.9,1.4,4504.08,8,7,4,52.9,3,37.0,3,5,4,1,75.068,4.5,maduro
58,Female,Bachelor,Sales,2,0.5,1.8,4093.73,16,7,3,27.9,3,0.5,0,4,1,2,70.58155172413794,2.0,maduro
25,Male,Bachelor,HR,3,0.1,0.9,2447.77,9,4,4,31.9,1,28.2,3,4,4,1,97.9108,0.4,joven
28,Male,Bachelor,Marketing,1,4.8,1.7,5066.97,8,3,5,15.9,4,10.2,3,3,4,0,180.9632142857143,14.4,joven
61,Non-binary,Master,Engineering,1,4.2,0.6,6463.92,8,6,5,32.0,3,4.8,5,3,2,1,105.96590163934428,12.6,senior
48,Female,High School,IT,2,5.2,2.3,2943.11,8,6,2,24.6,5,20.7,1,4,3,2,61.31479166666667,20.8,maduro
40,Male,Bachelor,Engineering,1,5.2,0.4,7299.8,10,3,4,46.1,5,23.5,2,3,4,0,182.495,15.6,adulto
45,Male,Master,Marketing,2,7.1,9.1,2567.49,9,10,4,29.7,2,5.2,0,5,1,0,57.05533333333333,35.5,adulto
51,Male,High School,Marketing,5,12.9,0.7,5528.6,1,8,4,44.7,4,0.5,4,3,3,0,108.40392156862744,38.7,maduro
38,Female,Bachelor,Sales,3,4.3,11.3,7021.31,9,4,4,56.5,5,3.1,2,5,1,0,184.7713157894737,21.5,adulto
26,Male,Master,Sales,2,3.2,0.8,7159.45,7,6,4,34.1,4,4.8,3,1,5,2,275.36346153846154,3.2,joven
51,Male,Bachelor,Marketing,1,0.6,2.4,7179.91,7,3,3,32.8,3,16.2,0,4,4,3,140.78254901960784,2.4,maduro
46,Female,Bachelor,IT,4,4.6,2.9,6012.04,11,9,3,32.8,2,17.6,4,3,4,2,130.69652173913045,13.8,maduro
24,Female,PhD,HR,1,0.5,0.4,4250.91,12,2,5,12.3,4,16.7,0,2,4,3,177.12125,1.0,joven
59,Male,Bachelor,IT,3,11.8,2.7,5250.0,12,9,2,30.0,3,1.5,1,4,1,2,88.98305084745763,47.2,maduro
33,Female,Bachelor,Marketing,4,2.1,5.5,8349.02,7,2,3,34.9,5,0.8,0,5,3,2,253.0006060606061,10.5,adulto
37,Female,Master,Marketing,1,0.6,3.3,3915.98,6,7,1,36.4,3,14.3,5,4,3,1,105.8372972972973,2.4,adulto
28,Female,High School,Legal,2,15.1,2.6,4894.61,11,9,4,26.4,4,7.1,1,3,4,1,174.80749999999998,45.3,joven
32,Female,Bachelor,IT,1,6.3,3.0,4912.45,9,8,4,55.2,1,8.9,2,3,5,2,153.5140625,18.9,adulto
22,Female,Bachelor,Finance,2,6.1,0.9,2754.28,13,4,1,27.4,3,11.4,4,4,3,2,125.19454545454546,24.4,joven
34,Male,Bachelor,Finance,5,0.3,4.0,8082.26,9,5,3,19.5,4,1.1,2,2,3,0,237.7135294117647,0.6,adulto
32,Male,Master,Marketing,1,7.5,1.5,3379.38,7,7,3,33.9,3,6.3,1,5,3,1,105.605625,37.5,adulto
36,Male,Master,IT,4,1.5,1.1,3301.71,13,8,5,41.9,5,0.7,3,4,1,2,91.71416666666669,6.0,adulto
32,Female,Bachelor,Marketing,5,9.9,1.5,9633.65,9,9,1,20.0,3,4.8,2,4,3,0,301.0515625,39.6,adulto
22,Male,High School,Sales,3,13.0,2.7,4072.09,9,7,4,23.1,3,3.8,4,4,2,1,185.095,52.0,joven
34,Female,Bachelor,IT,1,3.2,1.3,2362.8,10,9,3,16.6,4,24.3,2,3,2,0,69.49411764705883,9.6,adulto
47,Female,Bachelor,HR,4,2.2,4.4,6004.05,6,8,2,22.7,2,7.2,3,1,3,1,127.74574468085106,2.2,maduro
55,Female,Bachelor,Marketing,1,8.5,1.2,3454.63,9,9,1,68.4,1,4.7,3,4,5,0,62.81145454545455,34.0,maduro
52,Male,Master,Legal,2,0.5,4.4,1956.8062,8,9,3,43.4,3,9.1,5,5,5,1,37.63088846153846,2.5,maduro
25,Male,Bachelor,Sales,2,0.6,0.5,4226.32,8,6,3,37.5,1,17.7,3,3,2,0,169.0528,1.7999999999999998,joven
32,Male,Bachelor,Engineering,2,3.4,2.3,3884.46,8,9,4,40.2,4,26.6,3,4,2,0,121.389375,13.6,adulto
48,Male,Bachelor,Finance,4,5.8,1.9,4300.57,8,9,2,40.3,1,9.3,0,2,3,0,89.59520833333333,11.6,maduro
34,Female,PhD,Sales,4,0.0,0.5,3920.15,13,8,4,58.8,1,65.8,2,4,4,2,115.2985294117647,0.0,adulto
50,Male,Bachelor,Finance,1,2.5,1.0,7384.74,5,10,4,33.7,3,11.6,2,3,3,2,147.6948,7.5,maduro
56,Male,Master,Finance,2,0.1,3.6,4408.24,7,3,4,24.3,4,1.3,1,3,4,0,78.71857142857142,0.3,maduro
44,Female,PhD,HR,3,14.5,4.1,6037.65,11,1,4,40.2,5,10.8,5,5,4,3,137.21931818181818,72.5,adulto
23,Male,Bachelor,Legal,4,0.1,0.3,2519.86,6,7,3,62.3,3,11.1,2,3,4,2,109.55913043478262,0.3,joven
52,Male,Bachelor,HR,3,4.5,0.4,2178.18,6,4,2,33.8,2,27.9,4,3,2,1,41.88807692307692,13.5,maduro
29,Male,Bachelor,HR,3,4.1,0.2,3477.7,5,7,4,48.3,4,8.0,1,3,3,1,119.9206896551724,12.3,joven
25,Male,PhD,Marketing,3,11.5,1.1,3327.24,9,4,3,34.9,3,2.2,4,4,3,1,133.0896,46.0,joven
39,Female,Bachelor,Sales,3,16.4,1.4,8973.51,5,8,3,44.0,3,21.4,2,4,4,3,230.09,65.6,adulto
45,Male,Master,Legal,3,0.8,6.9,2704.03,15,8,3,60.4,2,0.4,5,2,3,0,60.08955555555556,1.6,adulto
56,Male,PhD,Sales,2,0.9,0.1,9749.5,5,11,2,39.1,2,34.7,3,3,3,0,174.09821428571428,2.7,maduro
36,Female,Bachelor,Sales,3,0.3,1.7,3598.43,10,7,2,38.9,4,7.1,0,3,4,0,99.95638888888888,0.8999999999999999,adulto
39,Male,Bachelor,Marketing,1,0.3,1.1,3328.62,7,9,5,40.4,4,56.5,2,4,3,0,85.34923076923077,1.2,adulto
22,Non-binary,Bachelor,IT,3,2.8,9.5,4907.37,7,5,4,48.1,4,11.1,2,2,3,0,223.06227272727276,5.6,joven
60,Non-binary,Master,Operations,1,14.3,2.9,4106.61,9,9,3,61.7,3,11.6,1,4,3,0,68.4435,57.2,maduro
35,Female,Master,HR,1,0.2,7.8,4338.34,5,6,4,49.6,5,28.6,1,4,3,0,123.95257142857145,0.8,adulto
47,Female,Bachelor,Marketing,2,1.4,0.7,8662.58,7,6,3,42.5,1,2.7,3,4,3,1,184.31021276595743,5.6,maduro
53,Female,Bachelor,Operations,1,0.8,2.6,4289.08,3,10,3,51.0,3,14.9,4,4,4,2,80.92603773584905,3.2,maduro
28,Male,Master,IT,2,2.0,0.2,6237.59,11,3,3,37.6,2,18.2,0,3,4,1,222.77107142857145,6.0,joven
47,Male,PhD,Finance,2,1.3,0.8,5621.2,8,8,1,42.6,2,0.2,2,1,3,0,119.6,1.3,maduro
41,Male,Master,Sales,3,4.6,9.9,5589.03,7,6,3,19.2,2,0.6,4,3,4,2,136.31780487804878,13.8,adulto
49,Female,High School,Marketing,1,2.5,0.8,3494.56,8,7,1,50.6,3,15.2,3,3,3,1,71.31755102040816,7.5,maduro
54,Male,Bachelor,Engineering,3,1.9,1.9,4892.17,9,3,3,30.3,4,14.4,3,4,4,1,90.59574074074074,7.6,maduro
49,Male,High School,Operations,5,8.9,0.5,3379.93,9,4,2,30.6,4,4.7,3,3,3,1,68.97816326530612,26.700000000000003,maduro
37,Female,Bachelor,Operations,2,3.3,1.7,5129.19,8,7,4,23.6,3,7.0,3,3,4,0,138.62675675675675,9.9,adulto
33,Male,Master,IT,2,2.3,1.5,7060.01,6,1,1,57.3,3,38.1,0,2,4,1,213.93969696969697,4.6,adulto
58,Male,Master,Operations,2,1.5,2.8,3985.8,10,6,4,44.7,4,7.8,1,5,4,1,68.72068965517242,7.5,maduro
53,Female,Bachelor,Marketing,2,1.3,0.9,3475.78,8,4,3,30.5,4,4.1,3,4,5,1,65.58075471698113,5.2,maduro
51,Female,Bachelor,HR,1,3.0,4.9,3940.93,7,7,2,55.3,3,4.9,2,3,5,0,77.27313725490195,9.0,maduro
29,Male,Master,Marketing,4,1.3,0.2,5189.95,9,7,5,21.7,3,1.8,4,5,1,0,178.96379310344827,6.5,joven
36,Non-binary,Master,Finance,1,1.6,0.2,3975.46,8,4,5,36.9,2,5.6,3,2,5,1,110.42944444444444,3.2,adulto
55,Male,Master,Marketing,1,10.1,1.5,4011.67,6,4,3,21.2,3,0.7,1,3,1,0,72.93945454545455,30.3,maduro
24,Female,Master,Marketing,3,7.5,4.0,3903.52,10,7,3,41.9,5,15.3,3,5,4,1,162.64666666666668,37.5,joven
58,Female,Bachelor,Operations,5,4.2,6.0,3577.18,11,10,3,54.0,5,3.3,5,3,4,2,61.67551724137931,12.6,maduro
22,Female,Bachelor,Sales,2,1.2,0.4,10405.7,5,7,3,52.0,5,0.3,3,3,4,1,472.9863636363637,3.6,joven
44,Female,Bachelor,IT,3,2.4,2.8,4661.66,8,2,4,57.0,4,67.7,1,5,5,1,105.94681818181816,12.0,adulto
45,Female,Bachelor,Operations,1,3.4,3.1,7532.91,6,8,4,49.6,5,0.7,4,2,4,1,167.398,6.8,adulto
26,Female,Master,Legal,3,9.9,1.2,7250.24,6,5,3,48.5,1,46.5,2,4,1,2,278.8553846153846,39.6,joven
59,Female,Bachelor,Operations,2,0.4,0.8,6180.79,7,3,4,48.1,4,7.0,2,4,3,1,104.75915254237287,1.6,maduro
24,Male,Bachelor,Engineering,1,2.2,2.4,7154.28,7,4,4,43.0,2,8.9,2,3,3,2,298.095,6.6000000000000005,joven
40,Male,Master,Marketing,1,2.8,5.0,4818.69,7,3,2,7.4,3,23.5,4,5,5,2,120.46725,14.0,adulto
25,Female,Bachelor,Marketing,2,9.9,0.2,3936.37,7,9,3,62.3,3,10.5,3,4,4,2,157.4548,39.6,joven
23,Female,Bachelor,Legal,1,2.0,3.9,3095.94,6,5,3,52.6,1,37.0,3,1,2,0,134.60608695652175,2.0,joven
47,Female,High School,Legal,2,0.2,3.3,11615.32,9,5,3,57.2,2,10.2,2,4,4,0,247.1344680851064,0.8,maduro
34,Male,Bachelor,Legal,1,1.9,1.0,7422.7,7,3,3,36.5,3,17.2,3,5,5,2,218.3147058823529,9.5,adulto
24,Male,Bachelor,IT,2,18.5,2.4,5985.88,8,9,2,37.1,4,15.9,4,4,2,1,249.41166666666663,74.0,joven
25,Female,Bachelor,IT,1,3.2,0.8,2657.69,7,8,4,69.8,2,12.3,1,3,4,0,106.3076,9.6,joven
60,Female,Bachelor,Legal,1,9.4,4.5,4734.34,2,9,3,65.5,5,13.9,2,4,3,0,78.90566666666668,37.6,maduro
55,Female,Master,Legal,5,9.1,4.2,5346.86,8,6,4,41.1,4,7.5,3,4,4,0,97.21563636363636,36.4,maduro
28,Female,PhD,Sales,1,1.3,0.0,8677.55,13,8,2,38.8,3,4.5,4,3,3,1,309.9125,3.9,joven
47,Female,Bachelor,Sales,1,3.6,0.4,6526.18,5,6,4,48.4,5,13.6,2,4,2,0,138.85489361702128,14.4,maduro
45,Female,High School,HR,2,4.8,1.1,9910.45,7,4,4,53.3,4,38.6,4,4,5,1,220.23222222222225,19.2,adulto
22,Female,Bachelor,IT,2,4.6,0.7,4426.97,11,6,3,21.6,1,14.9,1,3,3,0,201.2259090909091,13.8,joven
25,Male,Bachelor,Operations,2,7.0,11.0,4201.2,7,14,3,45.9,4,18.4,4,5,5,0,168.048,35.0,joven
32,Female,Master,IT,5,3.0,0.2,10466.0,12,12,3,55.2,3,12.0,3,5,4,1,327.0625,15.0,adulto
23,Male,Bachelor,Marketing,3,5.1,0.6,4869.89,8,3,4,55.1,2,21.4,1,2,3,1,211.73434782608695,10.2,joven
43,Male,Bachelor,IT,1,4.6,1.2,2275.64,6,5,3,52.7,4,1.2,2,5,3,0,52.92186046511628,23.0,adulto
27,Male,Bachelor,Sales,2,2.5,10.8,5051.65,6,7,4,48.9,4,37.0,3,2,4,0,187.0981481481481,5.0,joven
24,Female,Master,Marketing,1,1.9,0.4,7505.39,12,7,2,47.9,2,16.7,0,3,3,1,312.7245833333333,5.699999999999999,joven
35,Female,Bachelor,Operations,3,4.4,0.7,2638.55,6,6,2,22.5,3,5.9,0,3,4,2,75.38714285714286,13.2,adulto
53,Male,Bachelor,Sales,1,0.9,4.5,4784.19,9,7,4,32.2,4,19.2,1,4,3,0,90.2677358490566,3.6,maduro
56,Male,Bachelor,Marketing,4,3.3,1.1,5218.85,8,5,3,41.7,3,5.4,3,4,2,1,93.19375,13.2,maduro
58,Female,PhD,Operations,2,2.7,3.2,4645.71,7,4,3,28.3,3,6.3,1,3,4,2,80.09844827586207,8.100000000000001,maduro
38,Female,High School,Marketing,1,1.1,1.9,4774.7,2,6,4,30.3,4,10.2,5,3,3,1,125.65,3.3000000000000003,adulto
47,Female,Master,Operations,2,3.1,0.1,6344.57,7,5,4,42.4,2,31.1,2,4,5,1,134.99085106382978,12.4,maduro
28,Male,Master,Finance,4,1.4,0.5,6266.68,7,9,3,29.2,3,1.4,5,2,3,0,223.81,2.8,joven
30,Female,Master,Marketing,1,2.8,0.1,10376.55,12,4,4,41.2,2,10.9,1,5,4,0,345.885,14.0,joven
47,Female,Master,Legal,4,1.2,2.8,5116.27,9,5,3,45.6,4,54.0,3,5,5,0,108.8568085106383,6.0,maduro
30,Male,Bachelor,Finance,2,4.0,3.4,2315.15,8,8,3,47.4,5,31.3,1,4,5,2,77.17166666666667,16.0,joven
44,Male,Bachelor,IT,5,2.2,0.4,6681.68,7,5,3,59.9,2,59.4,0,3,4,1,151.85636363636365,6.6000000000000005,adulto
42,Male,High School,Finance,4,8.0,2.6,5156.93,3,7,4,51.7,2,8.6,4,3,5,1,122.78404761904764,24.0,adulto
35,Male,High School,Engineering,2,5.1,2.0,12002.48,6,6,3,40.1,1,41.5,4,5,4,2,342.928,25.5,adulto
28,Female,High School,Engineering,5,8.4,1.2,8430.15,9,8,3,28.2,5,3.4,2,3,3,0,301.0767857142857,25.200000000000003,joven
31,Female,Master,Sales,2,0.4,0.5,6836.73,7,2,3,44.5,3,9.4,2,5,3,3,220.53967741935483,2.0,adulto
58,Male,Bachelor,Sales,3,2.8,1.2,4904.49,5,7,3,68.7,3,5.8,2,3,5,0,84.5601724137931,8.399999999999999,maduro
28,Male,Bachelor,Legal,2,5.3,3.4,4110.45,5,5,3,27.4,4,12.7,7,1,4,1,146.8017857142857,5.3,joven
42,Male,Bachelor,Marketing,3,0.8,0.6,6541.95,15,6,3,42.0,4,6.2,1,4,5,0,155.76071428571427,3.2,adulto
33,Male,Bachelor,Operations,5,1.2,0.2,4283.3,5,2,4,45.3,4,9.6,4,5,2,2,129.7969696969697,6.0,adulto
58,Female,Master,Legal,2,2.3,3.2,3700.83,12,7,4,44.6,3,1.2,2,4,3,1,63.80741379310345,9.2,maduro
44,Female,Master,Engineering,2,4.2,2.0,5068.63,12,8,3,45.9,4,15.4,3,2,4,3,115.19613636363636,8.4,adulto
49,Female,Bachelor,Legal,2,19.2,6.0,4483.42,7,4,3,51.6,4,46.6,6,4,5,3,91.49836734693878,76.8,maduro
50,Male,Master,IT,2,6.4,1.0,4330.41,9,6,3,42.8,4,0.0,2,4,1,0,86.6082,25.6,maduro
61,Female,Master,IT,3,17.6,1.5,2713.54,12,2,2,45.5,3,21.2,4,4,3,1,44.48426229508197,70.4,senior
42,Female,Master,Finance,1,2.5,0.9,3124.89,7,13,5,33.2,3,18.8,5,3,4,3,74.40214285714285,7.5,adulto
48,Female,Master,IT,2,1.2,5.5,3302.89,9,3,3,27.6,2,6.7,3,2,2,1,68.81020833333334,2.4,maduro
36,Male,High School,Operations,1,8.8,1.0,8075.4,4,5,4,31.9,2,24.0,3,3,4,2,224.31666666666663,26.4,adulto
49,Male,Master,Marketing,4,4.3,0.8,4837.37,8,12,5,22.0,2,28.6,3,3,4,2,98.72183673469388,12.9,maduro
47,Male,Bachelor,Engineering,3,1.1,1.2,9172.53,12,7,4,30.3,4,15.4,1,4,3,0,195.16021276595745,4.4,maduro
51,Female,High School,IT,5,3.8,4.6,3686.16,7,4,3,38.9,3,14.7,3,4,4,1,72.27764705882353,15.2,maduro
22,Female,Bachelor,IT,2,8.2,1.5,3942.46,3,5,4,35.0,3,2.1,4,1,3,0,179.2027272727273,8.2,joven
49,Female,Bachelor,Engineering,1,5.0,2.1,3843.64,11,5,3,18.8,3,1.5,2,1,4,0,78.44163265306122,5.0,maduro
24,Male,Bachelor,Sales,2,2.1,3.9,2831.35,8,5,4,44.3,4,32.5,2,4,3,1,117.97291666666666,8.4,joven
30,Male,PhD,Engineering,2,0.9,1.2,5256.27,10,11,1,27.8,2,3.0,0,5,3,1,175.209,4.5,joven
23,Female,Bachelor,Marketing,1,8.9,1.0,5863.68,9,7,3,55.2,5,6.7,0,4,4,3,254.94260869565215,35.6,joven
37,Male,Bachelor,Operations,3,3.6,0.5,6763.63,16,8,3,50.7,3,14.5,4,4,4,1,182.8008108108108,14.4,adulto
45,Male,Bachelor,Operations,4,1.0,2.7,2203.12,5,4,4,35.4,3,10.9,8,5,3,0,48.95822222222222,5.0,adulto
28,Male,Master,HR,3,2.2,3.5,5956.55,11,5,3,47.8,4,20.3,2,4,4,0,212.73392857142855,8.8,joven
55,Female,Master,Engineering,5,0.5,1.4,7282.35,6,5,5,69.6,2,5.8,2,4,4,2,132.40636363636364,2.0,maduro
29,Male,Master,Legal,2,1.2,7.2,6105.04,13,3,3,21.6,4,20.5,1,3,4,1,210.5186206896552,3.6,joven
30,Male,Master,IT,2,1.5,0.9,3009.87,12,3,3,42.7,3,3.1,3,4,4,1,100.329,6.0,joven
23,Male,Bachelor,Engineering,1,0.2,3.2,4736.47,7,6,3,49.4,2,4.0,3,4,4,3,205.9334782608696,0.8,joven
60,Female,Master,IT,5,0.5,0.5,4379.8,12,13,3,17.2,3,13.9,1,4,3,0,72.99666666666667,2.0,maduro
61,Non-binary,Master,Legal,4,0.2,0.0,9528.36,6,7,3,29.9,4,1.4,3,3,4,3,156.2026229508197,0.6000000000000001,senior
36,Male,Bachelor,Marketing,2,13.3,2.2,2519.37,8,9,3,49.6,2,6.3,3,4,5,2,69.9825,53.2,adulto
50,Female,Bachelor,Engineering,1,1.1,2.6,6443.04,7,4,4,56.1,4,22.4,3,3,3,2,128.8608,3.3000000000000003,maduro
50,Female,Master,Engineering,4,0.1,7.8,4490.6,7,8,1,25.8,1,5.1,0,1,5,2,89.81200000000001,0.1,maduro
47,Female,High School,Finance,3,5.9,1.4,6256.63,4,4,2,40.8,3,31.0,1,3,5,0,133.11978723404255,17.700000000000003,maduro
26,Female,PhD,Engineering,2,0.5,0.6,5865.37,9,8,3,57.5,3,4.6,7,2,4,0,225.59115384615384,1.0,joven
40,Female,High School,Finance,2,7.9,0.8,4872.61,8,8,4,47.7,3,17.9,4,3,3,1,121.81525,23.700000000000003,adulto
40,Male,Bachelor,Finance,5,2.4,0.2,5911.37,6,3,4,36.1,2,6.3,3,1,5,3,147.78425,2.4,adulto
55,Female,Bachelor,Engineering,1,4.8,5.4,3455.35,9,6,4,40.7,2,19.1,0,3,2,0,62.82454545454545,14.4,maduro
42,Female,Bachelor,Engineering,2,2.2,0.9,2947.45,11,4,5,47.2,4,25.1,2,5,3,0,70.17738095238094,11.0,adulto
58,Female,Bachelor,Finance,4,3.5,2.1,2493.81,13,7,3,37.2,3,3.3,1,5,4,2,42.99672413793103,17.5,maduro
34,Female,High School,Marketing,2,2.0,0.3,3618.59,6,4,3,48.4,4,2.1,3,4,3,1,106.42911764705885,8.0,adulto
56,Male,Bachelor,Marketing,1,1.3,2.6,8978.97,9,3,2,18.7,5,33.7,4,4,5,2,160.33874999999998,5.2,maduro
49,Male,Master,IT,2,1.2,2.1,4810.75,5,6,4,73.3,4,5.9,2,3,2,2,98.17857142857144,3.6,maduro
52,Female,Master,Operations,5,5.6,0.1,5290.83,8,8,3,54.4,5,4.5,1,4,5,2,101.74673076923077,22.4,maduro
36,Female,Bachelor,HR,2,0.6,3.8,5517.67,5,11,4,41.7,2,46.8,5,1,3,3,153.2686111111111,0.6,adulto
49,Male,Master,Finance,2,2.4,1.3,7791.51,8,11,3,43.6,3,59.3,5,3,3,2,159.0104081632653,7.199999999999999,maduro
58,Male,Bachelor,Finance,2,4.9,1.9,4759.0,8,10,4,38.8,1,35.6,1,5,3,0,82.05172413793103,24.5,maduro
49,Female,Bachelor,Engineering,3,6.2,1.9,7728.07,3,7,3,28.1,4,12.3,1,5,4,0,157.71571428571428,31.0,maduro
55,Male,Bachelor,Operations,3,5.3,3.0,1956.81,7,5,4,44.3,3,3.0,3,2,3,1,35.57836363636363,10.6,maduro
28,Female,Bachelor,Engineering,3,18.6,1.0,3520.1,11,6,3,42.2,3,4.2,1,3,3,0,125.71785714285714,55.8,joven
37,Female,Bachelor,Legal,2,0.4,8.4,5824.34,8,5,3,10.8,1,102.3,2,4,4,2,157.4145945945946,1.6,adulto
27,Female,Bachelor,Marketing,3,4.9,1.5,5489.09,14,8,1,28.4,3,22.2,3,2,4,2,203.29962962962964,9.8,joven
54,Male,PhD,Operations,3,12.0,0.9,11146.06,6,5,3,39.6,4,11.1,0,1,1,0,206.4085185185185,12.0,maduro
34,Male,Master,Legal,3,3.0,7.7,12011.82,7,9,3,12.6,4,36.6,5,4,3,2,353.28882352941173,12.0,adulto
24,Female,Bachelor,Legal,2,0.9,3.2,2784.07,8,3,3,46.2,5,35.7,2,5,4,0,116.00291666666668,4.5,joven
50,Female,Bachelor,Marketing,5,2.2,3.2,3327.19,5,2,3,22.5,3,10.2,0,4,3,1,66.5438,8.8,maduro
43,Male,Bachelor,Operations,2,2.3,1.0,5895.05,8,4,3,34.7,2,29.0,0,1,1,0,137.09418604651162,2.3,adulto
38,Female,Bachelor,Sales,1,2.9,5.3,11140.56,8,7,3,51.7,2,49.9,4,3,4,1,293.17263157894735,8.7,adulto
23,Female,Bachelor,IT,2,13.3,3.0,2993.91,5,6,4,40.3,4,6.6,1,5,3,0,130.17,66.5,joven
48,Female,Bachelor,Sales,2,1.1,0.1,5705.01,11,2,2,38.7,3,19.3,4,4,2,1,118.854375,4.4,maduro
35,Female,High School,Legal,5,6.6,2.6,4398.51,6,5,2,46.7,3,1.8,2,4,4,0,125.67171428571427,26.4,adulto
28,Male,Bachelor,Sales,3,0.1,0.9,7689.64,7,2,5,45.6,5,27.3,3,4,3,3,274.63,0.4,joven
